Survey Identifier,Area of park,Longitude,Latitude,Food cache ,Lodge class,Lodge type,Lodge number,Lodge identifier,Unit identifier,Year of survey,Month of survey,Day of survey,Season,Aerial or ground survey method,Mode of transportation for survey,Percentage of EINP surveyed,Width of transect in meters,Visibility conditions,Amount of snow on ground,Amount of ice on ponds,"Flying height, above ground level",Flying speed,Survey Comments
Identifiant d'enquête,Secteur du parc,Longitude,Latitude,Cache de nourriture,Catégorie de hutte,Type de hutte,Nombre de huttes,Identifiant de hutte,Identifiant d’unité,Année du relevé,Mois du relevé,Journée du relevé,Saison,Méthode de relevé aérienne ou terrestre,Moyen de transport utilisé pour le relevé,Pourcentage du PNEI ayant fait l’objet du relevé,Largeur du transect en mètres,Conditions de visibilité,Quantité de neige au sol,Quantité de glace sur les étangs,"Hauteur de vol, au-dessus du sol",Vitesse de vol,Commentaires sur le relevé
1,north,-112.8668851,53.66993824,absent,NA,unknown,7,NA,NA,1959,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
1,north,-112.8680291,53.67868548,absent,NA,unknown,8,NA,NA,1959,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
1,north,-112.8337935,53.68041934,absent,NA,unknown,3,NA,NA,1959,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
1,south,-112.9150828,53.52454571,absent,NA,unknown,20,NA,NA,1959,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
1,south,-112.9293574,53.52792119,absent,NA,unknown,22,NA,NA,1959,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
1,south,-112.8156211,53.56484444,absent,NA,unknown,15,NA,NA,1959,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8771647,53.56978264,absent,3,unknown,42,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.858107,53.57981638,absent,3,unknown,41,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.9488986,53.59463443,absent,3,unknown,40,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.9463734,53.61596397,absent,3,unknown,37,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.888464,53.65315731,absent,2,unknown,24,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8731943,53.66064307,absent,3,unknown,21,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8644003,53.66612032,absent,3,unknown,15,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8552287,53.66718875,absent,2,unknown,14,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8640507,53.66951493,absent,3,unknown,16,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8364741,53.67173009,absent,3,unknown,11,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8657985,53.67480969,absent,3,unknown,17,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8014391,53.6819443,absent,2,unknown,8,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,north,-112.8476065,53.68775842,absent,3,unknown,4,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.8749179,53.51659698,absent,3,unknown,76,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.8844291,53.5178049,absent,3,unknown,73,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.8820318,53.51919118,absent,2,unknown,74,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.9072623,53.52307951,absent,2,unknown,67,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.8136281,53.52673043,absent,3,unknown,78,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.8451112,53.52663518,absent,2,unknown,84,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.9327039,53.52884706,absent,3,unknown,63,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.938589,53.53183537,absent,2,unknown,62,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.9047038,53.5336387,absent,3,unknown,58,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.8485721,53.53785516,absent,3,unknown,81,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.841316,53.54522205,absent,3,unknown,52,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
