"","RouteDataID","CountryNum","StateNum","Route","RPID","Year","RecordedCar","Car1_10","Car11_20","Car21_30","Car31_40","Car41_50","Car1","Car2","Car3","Car4","Car5","Car6","Car7","Car8","Car9","Car10","Car11","Car12","Car13","Car14","Car15","Car16","Car17","Car18","Car19","Car20","Car21","Car22","Car23","Car24","Car25","Car26","Car27","Car28","Car29","Car30","Car31","Car32","Car33","Car34","Car35","Car36","Car37","Car38","Car39","Car40","Car41","Car42","Car43","Car44","Car45","Car46","Car47","Car48","Car49","Car50","Noise1","Noise2","Noise3","Noise4","Noise5","Noise6","Noise7","Noise8","Noise9","Noise10","Noise11","Noise12","Noise13","Noise14","Noise15","Noise16","Noise17","Noise18","Noise19","Noise20","Noise21","Noise22","Noise23","Noise24","Noise25","Noise26","Noise27","Noise28","Noise29","Noise30","Noise31","Noise32","Noise33","Noise34","Noise35","Noise36","Noise37","Noise38","Noise39","Noise40","Noise41","Noise42","Noise43","Noise44","Noise45","Noise46","Noise47","Noise48","Noise49","Noise50","RouteYear"
"1",6230304,124,68,1,101,1997,"NULL",3,6,9,41,36,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,1,0,0,0,0,1,1,0,5,1,3,3,0,3,6,2,8,6,3,7,5,3,2,6,3,3,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11997
"2",6250954,124,68,1,101,2006,"1     ",1,7,16,98,116,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,0,1,1,1,2,2,2,2,5,8,5,5,5,7,11,10,16,20,11,17,13,9,6,7,9,7,20,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,12006
"3",6351926,124,68,1,101,2013,"1     ",2,11,37,111,208,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,2,2,1,0,2,2,2,1,0,6,17,6,5,4,9,6,9,25,14,0,14,25,37,22,20,23,25,19,16,20,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,12013
"4",6355757,124,68,1,101,2014,"1     ",2,17,71,222,90,0,0,1,0,0,1,0,0,0,0,0,2,3,2,1,3,0,2,0,4,0,3,7,8,0,3,8,16,13,13,7,7,11,8,42,27,42,41,27,10,10,11,7,15,8,8,14,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,12014
"5",6359253,124,68,1,101,2015,"1     ",1,2,18,119,95,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,5,6,3,10,6,4,12,10,18,10,12,19,18,13,13,4,6,9,9,8,17,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,12015
"6",6361994,124,68,1,101,2016,"1     ",6,3,20,166,120,2,0,0,0,0,1,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,2,3,0,0,1,4,2,3,5,6,6,3,11,17,19,23,36,40,5,11,12,17,13,15,25,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,12016
"7",6365649,124,68,1,101,2017,"1     ",7,6,41,110,190,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,2,0,1,4,9,9,5,9,7,8,10,8,9,9,12,15,20,12,15,20,20,15,20,20,20,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,12017
"8",6234124,124,68,2,101,1997,"NULL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21997
"9",6250955,124,68,2,101,2006,"1     ",7,2,39,15,11,1,0,0,0,1,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3,4,9,3,6,12,4,2,2,1,2,3,0,1,0,0,1,3,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22006
"10",6262399,124,68,2,101,2007,"1     ",3,1,37,3,13,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,5,5,4,7,9,0,0,0,0,1,0,2,0,0,0,0,2,2,2,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22007
"11",6300471,124,68,2,101,2008,"NULL",3,5,9,0,10,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22008
"12",6312584,124,68,2,101,2009,"NULL",2,1,16,9,10,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,1,1,4,4,4,1,0,0,0,0,0,0,0,0,0,5,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22009
"13",6319057,124,68,2,101,2010,"1     ",16,4,43,17,8,3,2,1,1,0,3,4,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,7,1,5,3,14,12,3,0,3,3,2,0,4,1,0,1,0,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22010
"14",6340765,124,68,2,101,2011,"1     ",2,4,46,15,7,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,6,7,5,4,10,9,0,6,3,1,0,0,1,1,0,3,2,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22011
"15",6344367,124,68,2,101,2012,"NULL",4,3,28,4,17,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,3,3,9,2,1,6,2,0,0,1,0,0,0,0,0,1,1,3,1,2,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22012
"16",6350883,124,68,2,101,2013,"1     ",3,3,30,8,25,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,3,2,2,3,7,10,1,2,0,1,0,1,1,1,0,1,0,0,1,2,7,3,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22013
