Seq,AOU,common_name,ORDER,Family,Genus,Species
6,1770,Black-bellied Whistling-Duck,Anseriformes,Anatidae,Dendrocygna,autumnalis
7,1780,Fulvous Whistling-Duck,Anseriformes,Anatidae,Dendrocygna,bicolor
8,1760,Emperor Goose,Anseriformes,Anatidae,Anser,canagicus
9,1690,Snow Goose,Anseriformes,Anatidae,Anser,caerulescens
10,1691,(Blue Goose) Snow Goose,Anseriformes,Anatidae,Chen,caerulescens (blue form)
11,1700,Ross's Goose,Anseriformes,Anatidae,Anser,rossii
13,1710,Greater White-fronted Goose,Anseriformes,Anatidae,Anser,albifrons
18,1730,Brant,Anseriformes,Anatidae,Branta,bernicla
19,1740,(Black Brant) Brant,Anseriformes,Anatidae,Branta,bernicla nigricans
21,1725,Cackling Goose,Anseriformes,Anatidae,Branta,hutchinsii
22,1720,Canada Goose,Anseriformes,Anatidae,Branta,canadensis
23,1782,Mute Swan,Anseriformes,Anatidae,Cygnus,olor
24,1810,Trumpeter Swan,Anseriformes,Anatidae,Cygnus,buccinator
25,1800,Tundra Swan,Anseriformes,Anatidae,Cygnus,columbianus
28,10210,Muscovy Duck,Anseriformes,Anatidae,Cairina,moschata
29,1440,Wood Duck,Anseriformes,Anatidae,Aix,sponsa
32,1400,Blue-winged Teal,Anseriformes,Anatidae,Spatula,discors
33,1410,Cinnamon Teal,Anseriformes,Anatidae,Spatula,cyanoptera
34,1420,Northern Shoveler,Anseriformes,Anatidae,Spatula,clypeata
35,1350,Gadwall,Anseriformes,Anatidae,Mareca,strepera
37,1360,Eurasian Wigeon,Anseriformes,Anatidae,Mareca,penelope
38,1370,American Wigeon,Anseriformes,Anatidae,Mareca,americana
40,1320,Mallard,Anseriformes,Anatidae,Anas,platyrhynchos
41,1331,(Mexican Duck) Mallard,Anseriformes,Anatidae,Anas,platyrhynchos diazi
42,1330,American Black Duck,Anseriformes,Anatidae,Anas,rubripes
43,1340,Mottled Duck,Anseriformes,Anatidae,Anas,fulvigula
44,1326,hybrid Mallard x Black Duck or Mottled Duck,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes or fulvigula
46,1430,Northern Pintail,Anseriformes,Anatidae,Anas,acuta
47,1390,Green-winged Teal,Anseriformes,Anatidae,Anas,crecca
48,1470,Canvasback,Anseriformes,Anatidae,Aythya,valisineria
49,1460,Redhead,Anseriformes,Anatidae,Aythya,americana
51,1500,Ring-necked Duck,Anseriformes,Anatidae,Aythya,collaris
52,1491,Tufted Duck,Anseriformes,Anatidae,Aythya,fuligula
53,1480,Greater Scaup,Anseriformes,Anatidae,Aythya,marila
54,1490,Lesser Scaup,Anseriformes,Anatidae,Aythya,affinis
55,1489,unid. Greater Scaup / Lesser Scaup,Anseriformes,Anatidae,Aythya,marila / affinis
58,1620,King Eider,Anseriformes,Anatidae,Somateria,spectabilis
59,1590,Common Eider,Anseriformes,Anatidae,Somateria,mollissima
60,1550,Harlequin Duck,Anseriformes,Anatidae,Histrionicus,histrionicus
61,1660,Surf Scoter,Anseriformes,Anatidae,Melanitta,perspicillata
62,1650,White-winged Scoter,Anseriformes,Anatidae,Melanitta,fusca
64,1630,Black Scoter,Anseriformes,Anatidae,Melanitta,americana
65,1657,unid. scoter,Anseriformes,Anatidae,Melanitta,perspicillata / fusca / americana
66,1540,Long-tailed Duck,Anseriformes,Anatidae,Clangula,hyemalis
67,1530,Bufflehead,Anseriformes,Anatidae,Bucephala,albeola
68,1510,Common Goldeneye,Anseriformes,Anatidae,Bucephala,clangula
69,1520,Barrow's Goldeneye,Anseriformes,Anatidae,Bucephala,islandica
70,1512,unid. Common Goldeneye / Barrow's Goldeneye,Anseriformes,Anatidae,Bucephala,clangula / islandica
72,1310,Hooded Merganser,Anseriformes,Anatidae,Lophodytes,cucullatus
73,1290,Common Merganser,Anseriformes,Anatidae,Mergus,merganser
74,1300,Red-breasted Merganser,Anseriformes,Anatidae,Mergus,serrator
76,1670,Ruddy Duck,Anseriformes,Anatidae,Oxyura,jamaicensis
77,3110,Plain Chachalaca,Galliformes,Cracidae,Ortalis,vetula
85,2920,Mountain Quail,Galliformes,Odontophoridae,Oreortyx,pictus
90,2890,Northern Bobwhite,Galliformes,Odontophoridae,Colinus,virginianus
92,2930,Scaled Quail,Galliformes,Odontophoridae,Callipepla,squamata
94,2940,California Quail,Galliformes,Odontophoridae,Callipepla,californica
95,2950,Gambel's Quail,Galliformes,Odontophoridae,Callipepla,gambelii
96,2960,Montezuma Quail,Galliformes,Odontophoridae,Cyrtonyx,montezumae
100,2882,Chukar,Galliformes,Phasianidae,Alectoris,chukar
103,2881,Gray Partridge,Galliformes,Phasianidae,Perdix,perdix
104,3091,Ring-necked Pheasant,Galliformes,Phasianidae,Phasianus,colchicus
105,3095,Indian Peafowl,Galliformes,Phasianidae,Pavo,cristatus
106,3000,Ruffed Grouse,Galliformes,Phasianidae,Bonasa,umbellus
107,3090,Greater Sage-Grouse,Galliformes,Phasianidae,Centrocercus,urophasianus
108,3089,Gunnison Sage-Grouse,Galliformes,Phasianidae,Centrocercus,minimus
109,2980,Spruce Grouse,Galliformes,Phasianidae,Falcipennis,canadensis
110,3010,Willow Ptarmigan,Galliformes,Phasianidae,Lagopus,lagopus
111,3020,Rock Ptarmigan,Galliformes,Phasianidae,Lagopus,muta
112,3040,White-tailed Ptarmigan,Galliformes,Phasianidae,Lagopus,leucura
113,2970,Dusky Grouse,Galliformes,Phasianidae,Dendragapus,obscurus
114,2971,Sooty Grouse,Galliformes,Phasianidae,Dendragapus,fuliginosus
115,2973,unid. Dusky Grouse / Sooty Grouse,Galliformes,Phasianidae,Dendragapus,obscurus / fuliginosus
116,3080,Sharp-tailed Grouse,Galliformes,Phasianidae,Tympanuchus,phasianellus
